"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","period"
0.283446712018141,12.1315529480126,21.4251075078498,18745.6630821761,29640.7887231615,73208.412539559,0.566230668554068,0.44520044348743,4091.84414721849,98,1225,33,34,106700.065077821,0,3717.46821230862,2716.58502974369,491.426686851051,0,510.655059093053,0,477,2716.58502974369,5.56248947242916,46.3375576575819,12.4248324767578,9.93986598140625,839.868213877133,20174.5401723585,941.630755643437,1428.8770901824,346.954346379387,0.778811487877877,21,0.833168806420332,0.793783194596207,8.99815676283007,0.51623868364802,23615.5958072555,15.2832070905505,54.626996705642,0.982324214187368,0.977050942657605,1323,3,1492.30986941598,3730.77467353995,22.3877551020408,8.5,0.540816326530612,109
0.268476621417798,12.3071564877848,22.2400933527072,18206.5220821212,27035.7065628081,75177.5134966121,0.553377015671866,0.4434568143458,3684.29387975416,91,1235,33,40,106299.676209404,0,3696.72742643254,2605.48737037611,400.388868417407,0,463.988963936269,0,466,2605.48737037611,5.3161534651408,42.1730866702836,12.7126870732903,10.1701496586322,916.633913438214,19768.8220931694,888.882154389115,1562.30001104821,346.308080808969,0.81153508633254,14,0.814656397385772,0.795032430592547,0.157377481010479,-0.161116582373864,22900.351459313,15.4800685031328,89.8133130060421,0.98479946606218,0.98050637605782,1326,3,1491.62892447383,3729.07231118458,23.1648351648352,10,0.516483516483517,110
0.284424379232506,12.0969623049853,21.9264730112285,17579.4260990923,24983.8719142531,77193.7707915964,0.551705798684107,0.438383064636009,3200.61873536987,90,1239,33,34,105265.903078368,0,3511.76984060526,3058.26009657886,1033.77313103585,0,426.893381846006,0,523,3058.26009657886,5.25860877187557,38.6979415002699,12.8033660107798,10.2426928086239,872.008111308109,19321.4524043915,881.192902957857,1742.02630529919,355.803731195017,0.811619823466783,20,0.776683309470129,0.691488890244726,-13.0238134148375,2.41947645886638,25422.5719994876,17.4940804915956,75.6682397063535,0.984861103983384,0.979964881384063,1329,3,1487.28287506225,3718.20718765561,23.8111111111111,11.5,0.511111111111111,111
0.262012012012012,11.8910337587313,21.5075564941402,17094.5728727286,23513.9438763755,79107.9713830905,0.552877020779699,0.430725591354491,3344.02713474882,92,1240,33,31,104274.5183351,0,3497.10845082711,3005.63229376966,991.384743268231,0,406.843526048134,0,514,3005.63229376966,5.15155085947833,35.9368136354375,12.4036387455683,9.92291099645462,876.10427544703,18786.7340027081,873.494578885639,1692.16112997949,409.319827663375,0.804501558623635,18,0.757705360719281,0.73433588962777,6.19633952005794,-1.28677196811806,23278.9560120693,16.1929083498272,68.7847171649175,0.984923820571738,0.980191677852406,1332,3,1482.86090032568,3707.15225081419,23.7934782608696,12,0.510869565217391,112
0.295131086142322,11.8963609820313,21.4024409857068,16825.3858202989,21892.7050855794,81362.9057407149,0.555841316884182,0.428943962425397,3391.42713579864,91,1244,33,34,103083.258769644,0,3400.2300075223,3114.76711751749,1191.25956545502,0,410.547152442425,0,534,3114.76711751749,4.96301102408179,33.3576292366486,12.4680501334126,9.9744401067301,819.237478726253,18687.7625453199,873.16033520663,1862.37672502102,389.875226604054,0.794531686904793,14,0.798303807874729,0.806075526845176,9.76932194527096,-1.37819723746877,20873.2125712217,14.7583701351055,64.6736005730326,0.984515408734042,0.980034952550586,1335,3,1476.72245545984,3691.80613864959,24.5384615384615,13,0.483516483516484,113
0.316890881913303,11.9394527797506,21.3870555977138,16311.1143639032,20665.2005180693,83223.0674498658,0.558256031327046,0.430466107981229,3342.37538433172,90,1248,33,34,101514.273961293,0,3292.19303989842,3392.44765476471,1568.98480835111,0,398.159801092555,0,590,3392.44765476471,4.89985540690361,31.6290401552429,12.2602549543311,9.80820396346491,801.610822463035,18141.7235669985,848.257184543802,1830.6092030953,362.579003983695,0.778459365241758,14,0.813561091487627,0.729231658707484,-9.53308537209215,1.2539882796441,22367.5346087053,16.3726473435239,65.1158270802311,0.986392739889653,0.980781412330159,1338,3,1468.73019348481,3671.82548371204,24.5111111111111,14,0.488888888888889,114
0.306487695749441,11.614068570923,20.8934767982163,16098.16692367,19248.2493782205,85465.8865465015,0.555870556302742,0.431975277357422,3243.09136824221,91,1250,33,32,100085.515108165,0,3200.39594185686,3169.85319233781,1428.75885312866,0,373.716883349134,0,574,3169.85319233781,4.67761640891315,29.6090298908969,12.2064585949963,9.76516687599702,829.283062831908,17599.3414395482,842.336658925556,1501.17451587817,350.925467668559,0.782372264695696,13,0.819807681166161,0.727045795081869,-0.299748865743066,-0.450480142080396,22141.8884925361,15.9743287829829,66.6592067068459,0.986301245288635,0.981763621280116,1341,3,1459.30160264771,3648.25400661928,24.8351648351648,15,0.494505494505495,115
0.339285714285714,11.5957021473479,20.798006134381,15540.6526322395,18307.6370523922,87110.258140898,0.557539125261584,0.437895537651412,3006.78517278468,89,1255,33,35,98249.4390827835,0,3101.12619592724,3488.84317487454,1836.07602538118,0,364.346887603816,0,626,3488.84317487454,4.57321726062148,28.5324127079141,12.4706361249041,9.97650889992329,777.817799205206,17220.1689723893,827.972107572502,1679.51634014975,337.448559694014,0.777495689240731,14,0.802637895840502,0.7280426778946,0.137114170726838,-2.54117909446003,21345.7989539583,15.9272285807215,59.2330445775741,0.986030624322197,0.979111230818384,1344,3,1448.35904643387,3620.89761608467,25.8651685393258,16,0.48314606741573,116
0.291759465478842,11.4155273021161,20.5049686063238,15603.0722706282,17531.6101205281,89481.3030044351,0.556720057527691,0.439013885959505,3189.38192951068,92,1255,33,30,96630.2578103343,0,3099.74323937444,3280.98855292398,1619.18127244921,0,326.431187001162,0,578,3280.98855292398,4.43329236151208,27.322684981299,12.0979785394724,9.67838283157795,859.901365602125,17057.2579967725,831.859746984054,1454.1857261443,365.536862650674,0.781867535157772,16,0.786802581107602,0.711108386360917,-2.32600258856456,-2.26814280594534,21941.9044549265,16.0531467791216,63.4710404778478,0.985973069144702,0.978460062350358,1347,3,1437.93595889967,3594.83989724916,25.6195652173913,14,0.5,117
0.314814814814815,11.8502741281308,21.2801255207205,15794.7840517507,16450.195404586,91587.9382633913,0.556870499499268,0.438771613537542,3436.4114125987,90,1260,33,35,95127.6350504133,0,3181.78534653381,3254.73323856946,1502.62275992101,0,369.663100568531,0,577,3254.73323856946,4.34321839873806,25.7006965702693,12.2186019358612,9.77488154868896,815.696952525123,17175.0406508346,807.093014282796,1380.25659908388,385.557714051044,0.79046447012718,12,0.802232808915367,0.706243176084679,-0.684172816627193,-1.90557684838679,22364.5120924424,16.7793113327157,51.7441081744133,0.984989886109897,0.979575832918216,1350,3,1429.67486788536,3574.18716971339,26.7777777777778,18,0.488888888888889,118
